id,category,creator,level,maxUsers,price,datetime,title,duration
280,Aerobics,94,begginer,45,15.81,2024-05-17 16:30:00.393354,A Aerobics class,1 h 55 min
281,Other,247,advanced,31,12.93,2023-08-30 15:30:00.393354,A Other class,1 h 35 min
282,Spinning,121,all levels,43,16.74,2023-07-12 02:30:00.393354,A Spinning class,1 h 5 min
283,GAP,900,advanced,41,7.86,2024-03-20 21:00:00.393354,A GAP class,1 h 40 min
284,Body Pump,911,intermediate,8,17.96,2023-11-19 03:30:00.393354,A Body Pump class,1 h 20 min
285,Stretching,359,all levels,14,15.91,2023-09-06 19:30:00.393354,A Stretching class,0 h 35 min
286,Body Combat,441,intermediate,21,18.25,2023-11-12 19:00:00.393354,A Body Combat class,0 h 5 min
287,Yoga,241,begginer,24,23.65,2024-02-04 04:00:00.393354,A Yoga class,0 h 45 min
288,Yoga,153,begginer,1,17.71,2023-12-22 17:30:00.393354,A Yoga class,0 h 
289,GAP,409,advanced,13,12.73,2024-04-26 09:30:00.393354,A GAP class,2 h 
290,Personalized,686,begginer,8,16.8,2024-04-12 10:30:00.393354,A Personalized class,1 h 40 min
291,Stretching,267,advanced,31,18.88,2023-11-17 05:30:00.393354,A Stretching class,2 h 
292,Other,456,intermediate,12,18.81,2024-04-12 05:30:00.393354,A Other class,2 h 
293,Zumba,92,advanced,27,15.9,2023-08-15 20:00:00.393354,A Zumba class,2 h 
294,Other,437,all levels,16,15.48,2023-06-12 03:00:00.393354,A Other class,0 h 5 min
295,Body Combat,142,advanced,19,13.77,2024-01-31 00:30:00.393354,A Body Combat class,2 h 
296,Personalized,616,intermediate,33,10.74,2024-02-27 19:00:00.393354,A Personalized class,0 h 10 min
297,Aerobics,456,begginer,19,16.46,2023-06-08 04:30:00.393354,A Aerobics class,2 h 
298,Yoga,174,advanced,30,14.54,2024-05-21 15:00:00.393354,A Yoga class,0 h 50 min
299,Other,166,begginer,9,16.76,2023-07-28 04:00:00.393354,A Other class,0 h 55 min
300,Barre,394,begginer,12,15.54,2023-07-24 16:30:00.393354,A Barre class,2 h 
301,Body Pump,799,begginer,17,16.72,2024-03-13 03:00:00.393354,A Body Pump class,1 h 50 min
302,Spinning,715,begginer,3,15.8,2024-04-02 06:30:00.393354,A Spinning class,2 h 
303,Yoga,578,begginer,22,17.05,2023-11-26 16:00:00.393354,A Yoga class,2 h 
304,CrossFit,720,begginer,26,13.19,2023-07-28 16:00:00.393354,A CrossFit class,0 h 30 min
305,Spinning,322,begginer,23,13.33,2023-11-11 12:30:00.393354,A Spinning class,2 h 
306,HIIT,204,begginer,25,13.37,2024-05-01 09:00:00.393354,A HIIT class,2 h 
307,Other,22,intermediate,16,15.66,2023-06-29 22:30:00.393354,A Other class,2 h 
308,Other,83,begginer,40,19.0,2023-07-07 19:30:00.393354,A Other class,0 h 40 min
309,Body Pump,929,begginer,7,14.31,2024-05-14 03:00:00.393354,A Body Pump class,2 h 
310,Aerobics,669,advanced,40,9.12,2023-06-22 22:30:00.393354,A Aerobics class,2 h 
311,Yoga,680,all levels,30,14.1,2023-06-24 01:00:00.393354,A Yoga class,2 h 
312,Total Body Conditioning,622,intermediate,34,21.44,2023-11-17 03:30:00.393354,A Total Body Conditioning class,0 h 10 min
313,ABS,136,advanced,42,13.75,2023-12-04 04:30:00.393354,A ABS class,1 h 40 min
314,Body Pump,671,begginer,16,12.56,2024-02-18 13:00:00.393354,A Body Pump class,0 h 55 min
315,Barre,31,advanced,32,9.35,2024-04-05 16:00:00.393354,A Barre class,1 h 45 min
316,Stretching,690,all levels,29,15.31,2023-07-15 14:00:00.393354,A Stretching class,1 h 50 min
317,Aerobics,103,intermediate,36,18.61,2023-07-19 04:00:00.393354,A Aerobics class,0 h 40 min
318,Total Body Conditioning,275,all levels,29,17.34,2024-05-17 02:00:00.393354,A Total Body Conditioning class,1 h 20 min
319,Yoga,825,all levels,39,10.86,2024-05-05 02:00:00.393354,A Yoga class,0 h 50 min
320,Zumba,148,intermediate,32,9.36,2024-05-02 16:00:00.393354,A Zumba class,1 h 20 min
321,Kickboxing,15,all levels,4,14.48,2023-08-08 09:00:00.393354,A Kickboxing class,2 h 
322,Total Body Conditioning,176,intermediate,40,14.42,2024-05-25 13:30:00.393354,A Total Body Conditioning class,2 h 
323,Zumba,235,intermediate,4,13.44,2024-05-23 20:00:00.393354,A Zumba class,0 h 20 min
324,Yoga,932,begginer,29,10.99,2023-10-29 20:30:00.393354,A Yoga class,1 h 10 min
325,Boxing,903,intermediate,32,19.6,2023-08-26 10:00:00.393354,A Boxing class,0 h 20 min
326,Boxing,365,intermediate,27,15.0,2023-07-14 08:30:00.393354,A Boxing class,2 h 
327,Yoga,794,advanced,32,9.59,2023-07-07 19:30:00.393354,A Yoga class,0 h 45 min
328,ABS,258,all levels,40,17.47,2024-02-29 04:00:00.393354,A ABS class,1 h 55 min
329,HIIT,519,all levels,10,17.97,2023-10-04 04:00:00.393354,A HIIT class,2 h 
330,Aerobics,136,advanced,7,15.15,2024-03-23 06:30:00.393354,A Aerobics class,0 h 35 min
331,HIIT,27,all levels,21,14.81,2024-02-26 21:30:00.393354,A HIIT class,1 h 45 min
332,Yoga,900,begginer,15,18.28,2024-02-10 18:00:00.393354,A Yoga class,1 h 25 min
333,Zumba,83,all levels,39,11.51,2024-03-03 01:30:00.393354,A Zumba class,2 h 
334,CrossFit,204,all levels,14,19.1,2024-03-06 13:30:00.393354,A CrossFit class,1 h 
335,Pilates,250,all levels,25,15.27,2023-12-09 16:30:00.393354,A Pilates class,1 h 30 min
336,CrossFit,337,all levels,50,14.52,2023-08-28 15:00:00.393354,A CrossFit class,0 h 35 min
337,Body Pump,218,advanced,11,23.2,2023-11-19 19:00:00.393354,A Body Pump class,0 h 50 min
338,Personalized,604,begginer,34,17.77,2024-05-03 10:00:00.393354,A Personalized class,1 h 10 min
339,Spinning,166,intermediate,14,13.94,2023-06-13 07:30:00.393354,A Spinning class,0 h 50 min
340,ABS,18,advanced,18,10.95,2023-07-10 06:00:00.393354,A ABS class,1 h 20 min
341,Body Combat,787,intermediate,1,13.29,2023-11-06 21:00:00.393354,A Body Combat class,1 h 30 min
342,Pilates,997,begginer,47,12.19,2023-06-28 18:30:00.393354,A Pilates class,2 h 
343,Spinning,437,begginer,26,19.16,2023-11-06 09:00:00.393354,A Spinning class,0 h 10 min
344,Total Body Conditioning,31,intermediate,13,11.4,2023-08-24 21:00:00.393354,A Total Body Conditioning class,0 h 
345,Pilates,15,all levels,20,13.15,2024-01-22 20:00:00.393354,A Pilates class,1 h 30 min
346,Pilates,397,begginer,34,16.72,2024-03-30 11:30:00.393354,A Pilates class,2 h 
347,Stretching,690,all levels,24,13.14,2023-08-12 01:00:00.393354,A Stretching class,1 h 20 min
348,Total Body Conditioning,997,all levels,35,13.81,2023-12-21 11:00:00.393354,A Total Body Conditioning class,1 h 40 min
349,ABS,704,all levels,44,15.9,2023-10-29 17:30:00.393354,A ABS class,2 h 
350,Yoga,168,intermediate,38,14.88,2024-05-18 18:30:00.393354,A Yoga class,2 h 
351,Total Body Conditioning,792,all levels,2,12.68,2024-03-04 18:00:00.393354,A Total Body Conditioning class,0 h 30 min
352,Barre,182,all levels,12,14.37,2023-08-18 20:00:00.393354,A Barre class,2 h 
353,Stretching,604,all levels,48,15.81,2024-02-23 06:30:00.393354,A Stretching class,1 h 15 min
354,Zumba,670,advanced,43,19.5,2023-09-18 00:00:00.393354,A Zumba class,2 h 
355,Spinning,604,begginer,40,19.63,2023-12-09 14:00:00.393354,A Spinning class,0 h 30 min
356,Barre,610,intermediate,8,16.95,2024-05-11 02:00:00.393354,A Barre class,2 h 
357,CrossFit,679,begginer,41,15.59,2023-08-29 00:00:00.393354,A CrossFit class,2 h 
358,Stretching,545,all levels,49,8.19,2024-04-18 13:30:00.393354,A Stretching class,1 h 55 min
359,CrossFit,724,all levels,6,15.9,2024-05-01 06:00:00.393354,A CrossFit class,2 h 
360,Boxing,245,begginer,37,11.67,2024-03-18 16:00:00.393354,A Boxing class,0 h 45 min
361,Aerobics,762,all levels,34,17.08,2023-07-26 08:30:00.393354,A Aerobics class,2 h 
362,CrossFit,267,intermediate,4,11.98,2024-02-16 00:30:00.393354,A CrossFit class,1 h 25 min
363,Spinning,770,advanced,33,13.7,2023-12-12 05:30:00.393354,A Spinning class,2 h 
364,GAP,778,all levels,12,12.34,2024-05-17 09:00:00.393354,A GAP class,2 h 
365,HIIT,241,advanced,22,15.53,2024-01-02 06:30:00.393354,A HIIT class,2 h 
366,Personalized,148,all levels,21,8.44,2023-08-12 18:00:00.393354,A Personalized class,1 h 5 min
367,Body Pump,250,all levels,29,16.14,2024-04-18 00:00:00.393354,A Body Pump class,0 h 25 min
368,Pilates,898,begginer,8,11.32,2023-10-07 14:30:00.393354,A Pilates class,0 h 40 min
369,CrossFit,814,all levels,13,14.61,2023-07-09 09:30:00.393354,A CrossFit class,2 h 
370,Stretching,441,intermediate,7,14.84,2024-01-24 21:30:00.393354,A Stretching class,2 h 
371,Personalized,442,all levels,29,17.07,2023-12-01 03:00:00.393354,A Personalized class,1 h 20 min
372,Stretching,927,advanced,14,15.31,2023-08-30 08:00:00.393354,A Stretching class,0 h 40 min
373,Spinning,984,begginer,33,11.89,2024-01-06 19:30:00.393354,A Spinning class,2 h 
374,Other,945,advanced,37,9.78,2024-02-15 03:30:00.393354,A Other class,1 h 20 min
375,Zumba,845,advanced,10,15.14,2023-11-13 04:30:00.393354,A Zumba class,0 h 30 min
376,CrossFit,988,all levels,12,11.24,2023-10-22 10:00:00.393354,A CrossFit class,2 h 
377,ABS,792,advanced,28,21.52,2023-06-26 18:00:00.393354,A ABS class,0 h 25 min
378,Aerobics,523,all levels,25,18.19,2023-11-12 14:00:00.393354,A Aerobics class,2 h 
379,ABS,576,begginer,14,15.02,2023-07-22 02:00:00.393354,A ABS class,0 h 45 min
380,Personalized,616,begginer,6,15.43,2023-12-12 14:30:00.393354,A Personalized class,2 h 
381,Body Combat,988,intermediate,27,15.04,2024-03-09 09:00:00.393354,A Body Combat class,2 h 
382,Other,441,all levels,8,14.18,2024-05-26 13:00:00.393354,A Other class,2 h 
383,Zumba,480,intermediate,38,21.16,2023-12-25 05:00:00.393354,A Zumba class,0 h 25 min
384,ABS,822,intermediate,6,15.85,2024-04-18 19:30:00.393354,A ABS class,2 h 
385,GAP,571,begginer,4,18.91,2023-09-16 19:30:00.393354,A GAP class,2 h 
386,Body Pump,918,all levels,2,20.45,2023-08-25 11:30:00.393354,A Body Pump class,0 h 40 min
387,Other,823,intermediate,47,14.1,2023-11-02 06:00:00.393354,A Other class,1 h 45 min
388,Spinning,571,all levels,5,16.5,2023-08-02 11:00:00.393354,A Spinning class,0 h 45 min
389,Personalized,1,begginer,24,14.26,2024-05-09 04:00:00.393354,A Personalized class,1 h 45 min
390,Body Combat,932,all levels,19,10.48,2024-01-31 04:00:00.393354,A Body Combat class,2 h 
391,Kickboxing,182,advanced,21,17.15,2024-02-21 04:30:00.393354,A Kickboxing class,0 h 
392,HIIT,545,all levels,35,14.67,2024-01-07 00:00:00.393354,A HIIT class,2 h 
393,Body Pump,990,intermediate,18,15.43,2023-08-02 20:30:00.393354,A Body Pump class,2 h 
394,Body Pump,57,intermediate,23,13.33,2023-10-24 18:00:00.393354,A Body Pump class,0 h 20 min
395,Zumba,22,begginer,40,15.78,2023-08-08 05:00:00.393354,A Zumba class,1 h 5 min
396,Pilates,147,advanced,11,14.7,2024-02-17 19:00:00.393354,A Pilates class,0 h 25 min
397,Zumba,965,intermediate,21,13.99,2023-12-13 02:00:00.393354,A Zumba class,1 h 10 min
398,Spinning,107,begginer,32,14.13,2023-12-05 19:30:00.393354,A Spinning class,1 h 10 min
399,Body Combat,88,begginer,44,13.57,2023-07-08 09:00:00.393354,A Body Combat class,0 h 55 min
400,Total Body Conditioning,394,begginer,3,15.25,2024-02-06 13:00:00.393354,A Total Body Conditioning class,2 h 
401,Spinning,141,intermediate,18,9.29,2024-02-27 10:30:00.393354,A Spinning class,1 h 55 min
402,Zumba,15,advanced,3,16.22,2023-06-16 08:00:00.393354,A Zumba class,0 h 
403,ABS,94,begginer,37,12.79,2024-05-18 17:30:00.393354,A ABS class,2 h 
404,Spinning,895,begginer,21,12.77,2023-06-22 20:30:00.393354,A Spinning class,1 h 35 min
405,Pilates,241,all levels,20,16.15,2024-01-31 19:00:00.393354,A Pilates class,1 h 50 min
406,Body Pump,104,intermediate,22,14.82,2023-10-11 15:30:00.393354,A Body Pump class,0 h 20 min
407,Total Body Conditioning,991,intermediate,36,13.12,2023-11-02 02:00:00.393354,A Total Body Conditioning class,0 h 20 min
408,Personalized,626,intermediate,46,16.39,2023-06-13 08:00:00.393354,A Personalized class,0 h 10 min
409,CrossFit,997,all levels,27,15.98,2024-02-27 14:00:00.393354,A CrossFit class,1 h 15 min
410,Kickboxing,833,intermediate,44,18.17,2023-12-22 08:30:00.393354,A Kickboxing class,0 h 45 min
411,Boxing,495,all levels,8,18.45,2024-05-13 19:00:00.393354,A Boxing class,2 h 
412,Aerobics,717,all levels,22,12.89,2023-06-15 04:30:00.393354,A Aerobics class,1 h 10 min
413,Kickboxing,626,intermediate,3,13.24,2023-08-05 03:30:00.393354,A Kickboxing class,2 h 
414,Stretching,793,begginer,29,13.81,2023-07-03 18:00:00.393354,A Stretching class,0 h 45 min
415,HIIT,770,begginer,5,15.82,2023-06-06 03:30:00.393354,A HIIT class,1 h 
416,Barre,168,all levels,8,11.23,2024-03-14 11:30:00.393354,A Barre class,0 h 35 min
417,HIIT,658,begginer,40,14.95,2023-09-06 03:00:00.393354,A HIIT class,1 h 55 min
418,Personalized,695,advanced,2,14.99,2023-12-29 22:30:00.393354,A Personalized class,2 h 
419,Zumba,442,begginer,12,14.86,2024-04-10 06:00:00.393354,A Zumba class,2 h 
420,Pilates,463,all levels,42,11.59,2024-05-09 18:30:00.393354,A Pilates class,2 h 
421,Barre,470,advanced,9,7.06,2023-12-26 21:00:00.393354,A Barre class,0 h 35 min
422,Kickboxing,18,all levels,41,14.92,2023-06-08 15:30:00.393354,A Kickboxing class,1 h 50 min
423,Body Pump,737,advanced,36,12.06,2023-11-13 20:00:00.393354,A Body Pump class,1 h 15 min
424,HIIT,801,all levels,42,19.69,2024-02-07 01:00:00.393354,A HIIT class,1 h 30 min
425,Body Pump,611,advanced,14,14.75,2024-02-10 14:00:00.393354,A Body Pump class,0 h 
426,Body Pump,174,intermediate,21,15.85,2023-10-01 22:30:00.393354,A Body Pump class,2 h 
427,Body Pump,99,all levels,18,17.81,2024-05-09 21:30:00.393354,A Body Pump class,2 h 
428,Personalized,331,advanced,6,14.0,2024-05-13 13:30:00.393354,A Personalized class,0 h 40 min
429,Boxing,721,intermediate,30,10.72,2024-03-06 03:00:00.393354,A Boxing class,2 h 
430,Body Pump,989,all levels,22,11.22,2023-11-22 07:30:00.393354,A Body Pump class,0 h 20 min
431,CrossFit,174,all levels,7,12.04,2023-11-09 22:00:00.393354,A CrossFit class,0 h 5 min
432,Other,397,intermediate,45,12.85,2023-10-30 01:30:00.393354,A Other class,0 h 35 min
433,Other,726,begginer,9,17.1,2024-03-06 15:30:00.393354,A Other class,0 h 20 min
434,Stretching,927,begginer,22,18.46,2024-05-19 05:30:00.393354,A Stretching class,2 h 
435,Pilates,939,all levels,12,16.57,2023-08-24 09:00:00.393354,A Pilates class,0 h 15 min
436,Spinning,84,all levels,47,12.08,2024-04-25 19:30:00.393354,A Spinning class,2 h 
437,Kickboxing,337,advanced,47,11.24,2024-01-09 08:30:00.393354,A Kickboxing class,2 h 
438,Kickboxing,160,intermediate,14,14.76,2023-10-18 15:00:00.393354,A Kickboxing class,0 h 30 min
439,Pilates,1,intermediate,27,13.96,2024-05-01 10:30:00.393354,A Pilates class,0 h 20 min
440,CrossFit,971,begginer,47,16.16,2023-06-07 13:00:00.393354,A CrossFit class,1 h 20 min
441,Body Pump,18,begginer,6,19.56,2023-08-12 13:30:00.393354,A Body Pump class,1 h 55 min
442,HIIT,365,begginer,3,12.75,2023-08-25 19:30:00.393354,A HIIT class,0 h 20 min
443,Aerobics,697,all levels,33,13.69,2023-11-03 20:00:00.393354,A Aerobics class,2 h 
444,Yoga,337,intermediate,34,20.18,2023-09-11 08:30:00.393354,A Yoga class,2 h 
445,GAP,623,all levels,22,14.44,2024-01-19 18:00:00.393354,A GAP class,1 h 45 min
446,Kickboxing,18,intermediate,10,17.06,2023-09-10 09:30:00.393354,A Kickboxing class,2 h 
447,GAP,524,intermediate,49,8.53,2024-02-01 23:00:00.393354,A GAP class,1 h 10 min
448,Yoga,18,intermediate,29,19.73,2023-10-14 09:00:00.393354,A Yoga class,1 h 35 min
449,Yoga,148,all levels,35,9.22,2024-04-15 11:00:00.393354,A Yoga class,1 h 30 min
450,Boxing,528,all levels,49,14.11,2024-01-19 08:00:00.393354,A Boxing class,2 h 
451,Personalized,416,all levels,27,13.76,2023-10-16 02:00:00.393354,A Personalized class,2 h 
452,ABS,337,intermediate,30,10.55,2023-07-19 11:00:00.393354,A ABS class,1 h 30 min
453,Body Pump,720,intermediate,24,15.19,2023-11-06 13:30:00.393354,A Body Pump class,1 h 10 min
454,Kickboxing,787,begginer,27,10.83,2024-03-01 17:00:00.393354,A Kickboxing class,0 h 15 min
455,Boxing,686,intermediate,15,13.56,2024-03-02 06:30:00.393354,A Boxing class,1 h 10 min
456,Body Combat,576,advanced,35,16.2,2023-11-12 08:30:00.393354,A Body Combat class,1 h 
457,Spinning,603,intermediate,28,15.41,2023-08-08 03:00:00.393354,A Spinning class,2 h 
458,Body Combat,888,all levels,36,14.37,2024-03-29 05:30:00.393354,A Body Combat class,0 h 10 min
459,Kickboxing,939,advanced,10,12.83,2023-09-24 22:30:00.393354,A Kickboxing class,2 h 
460,Spinning,861,intermediate,17,18.33,2024-05-26 00:30:00.393354,A Spinning class,2 h 
461,Spinning,610,all levels,46,18.92,2023-10-12 15:30:00.393354,A Spinning class,1 h 45 min
462,Spinning,88,all levels,31,13.6,2023-06-10 16:30:00.393354,A Spinning class,0 h 55 min
463,Pilates,787,advanced,2,13.8,2024-01-19 01:00:00.393354,A Pilates class,0 h 
464,Pilates,88,advanced,1,18.23,2024-02-11 08:30:00.393354,A Pilates class,0 h 15 min
465,Total Body Conditioning,715,all levels,7,18.95,2024-05-22 13:30:00.393354,A Total Body Conditioning class,0 h 50 min
466,Spinning,92,intermediate,47,14.9,2023-07-18 08:30:00.393354,A Spinning class,0 h 35 min
467,Boxing,932,all levels,12,16.28,2024-03-11 12:00:00.393354,A Boxing class,2 h 
468,Spinning,929,advanced,33,17.88,2023-11-18 15:00:00.393354,A Spinning class,2 h 
469,Body Pump,247,intermediate,30,11.6,2024-03-24 20:30:00.393354,A Body Pump class,2 h 
470,Personalized,670,advanced,34,12.7,2023-06-20 05:00:00.393354,A Personalized class,2 h 
471,CrossFit,929,all levels,12,12.8,2024-04-19 08:00:00.393354,A CrossFit class,1 h 25 min
472,Total Body Conditioning,104,begginer,5,16.36,2023-07-30 17:30:00.393354,A Total Body Conditioning class,0 h 20 min
473,HIIT,735,intermediate,29,20.25,2024-04-11 19:00:00.393354,A HIIT class,1 h 55 min
474,Boxing,949,intermediate,11,19.49,2024-01-25 11:30:00.393354,A Boxing class,1 h 20 min
475,Other,576,all levels,21,14.81,2023-08-06 17:00:00.393354,A Other class,0 h 10 min
476,HIIT,15,intermediate,13,16.94,2024-05-13 18:00:00.393354,A HIIT class,0 h 20 min
477,Other,858,intermediate,45,15.19,2023-10-05 07:30:00.393354,A Other class,0 h 20 min
478,Yoga,242,advanced,15,13.5,2023-10-31 09:00:00.393354,A Yoga class,2 h 
479,Yoga,704,advanced,17,15.69,2023-08-12 16:30:00.393354,A Yoga class,1 h 55 min
480,Other,939,intermediate,26,13.75,2023-06-24 01:00:00.393354,A Other class,2 h 
481,Total Body Conditioning,776,all levels,1,11.4,2024-03-15 21:00:00.393354,A Total Body Conditioning class,0 h 20 min
482,Body Pump,770,intermediate,1,13.8,2023-12-16 20:00:00.393354,A Body Pump class,0 h 50 min
483,HIIT,11,intermediate,17,19.1,2024-04-04 03:00:00.393354,A HIIT class,0 h 5 min
484,CrossFit,222,intermediate,15,15.79,2024-05-06 06:00:00.393354,A CrossFit class,0 h 40 min
485,Kickboxing,726,intermediate,30,15.62,2024-01-16 06:30:00.393354,A Kickboxing class,1 h 45 min
486,HIIT,830,advanced,44,13.5,2024-04-30 01:00:00.393354,A HIIT class,2 h 
487,Body Pump,83,begginer,30,12.72,2023-11-03 11:30:00.393354,A Body Pump class,0 h 30 min
488,GAP,470,advanced,22,14.61,2024-05-15 08:30:00.393354,A GAP class,2 h 
489,Body Pump,895,intermediate,9,13.1,2023-11-24 09:00:00.393354,A Body Pump class,2 h 
490,GAP,151,all levels,18,19.38,2024-02-06 09:00:00.393354,A GAP class,2 h 
491,Barre,721,all levels,4,16.38,2024-04-02 03:30:00.393354,A Barre class,2 h 
492,Stretching,744,begginer,26,22.23,2024-05-24 20:00:00.393354,A Stretching class,0 h 20 min
493,Stretching,267,intermediate,49,12.44,2024-01-15 07:00:00.393354,A Stretching class,1 h 50 min
494,GAP,15,advanced,32,13.41,2023-06-11 08:00:00.393354,A GAP class,0 h 45 min
495,Total Body Conditioning,88,all levels,8,15.55,2023-11-06 11:00:00.393354,A Total Body Conditioning class,1 h 40 min
496,Total Body Conditioning,922,begginer,25,11.24,2024-03-02 18:00:00.393354,A Total Body Conditioning class,0 h 40 min
497,Pilates,971,all levels,42,12.11,2023-11-16 08:00:00.393354,A Pilates class,1 h 15 min
498,CrossFit,166,intermediate,15,16.38,2024-01-20 17:00:00.393354,A CrossFit class,1 h 30 min
499,Personalized,679,intermediate,12,13.36,2023-06-15 04:00:00.393354,A Personalized class,2 h 
500,Zumba,822,intermediate,16,15.22,2024-03-21 05:30:00.393354,A Zumba class,1 h 5 min
501,CrossFit,168,advanced,25,13.38,2023-11-23 09:00:00.393354,A CrossFit class,2 h 
502,Yoga,350,all levels,31,14.11,2023-08-07 16:30:00.393354,A Yoga class,0 h 20 min
503,Total Body Conditioning,88,begginer,41,14.31,2024-01-27 01:00:00.393354,A Total Body Conditioning class,1 h 
504,Zumba,22,advanced,37,20.09,2023-12-30 08:30:00.393354,A Zumba class,0 h 55 min
505,Stretching,997,begginer,15,15.62,2024-02-22 19:30:00.393354,A Stretching class,1 h 25 min
506,Personalized,439,all levels,4,18.21,2024-01-29 09:00:00.393354,A Personalized class,1 h 10 min
507,Other,322,intermediate,2,16.73,2023-09-29 01:00:00.393354,A Other class,0 h 50 min
508,GAP,990,intermediate,25,16.13,2024-04-17 13:30:00.393354,A GAP class,0 h 5 min
509,Personalized,858,all levels,45,15.13,2024-01-20 08:00:00.393354,A Personalized class,1 h 40 min
510,Zumba,762,intermediate,12,16.83,2023-09-09 01:00:00.393354,A Zumba class,0 h 50 min
511,Zumba,787,advanced,44,16.52,2024-02-21 04:30:00.393354,A Zumba class,0 h 25 min
512,Yoga,104,all levels,21,10.85,2024-02-09 20:00:00.393354,A Yoga class,2 h 
513,Body Pump,704,advanced,47,15.37,2023-08-13 22:00:00.393354,A Body Pump class,0 h 5 min
514,Zumba,671,all levels,50,15.41,2023-12-07 21:00:00.393354,A Zumba class,1 h 30 min
515,Zumba,680,all levels,48,10.2,2024-03-09 15:00:00.393354,A Zumba class,1 h 30 min
516,Other,490,begginer,27,17.94,2024-02-12 23:00:00.393354,A Other class,0 h 55 min
517,Other,837,begginer,12,14.69,2024-04-26 09:30:00.393354,A Other class,2 h 
518,Aerobics,685,intermediate,9,16.64,2024-02-12 14:00:00.393354,A Aerobics class,0 h 15 min
519,Barre,495,all levels,47,19.29,2024-03-11 04:30:00.393354,A Barre class,1 h 5 min
520,Body Pump,678,begginer,9,18.81,2024-05-05 05:30:00.393354,A Body Pump class,0 h 55 min
521,Aerobics,242,advanced,41,17.63,2023-09-07 15:30:00.393354,A Aerobics class,2 h 
522,HIIT,709,all levels,20,14.64,2024-01-20 12:30:00.393354,A HIIT class,1 h 40 min
523,Aerobics,131,advanced,21,15.59,2023-06-27 03:00:00.393354,A Aerobics class,1 h 
524,HIIT,136,begginer,11,13.75,2023-06-21 03:30:00.393354,A HIIT class,1 h 20 min
525,Yoga,761,intermediate,21,11.75,2024-03-12 05:00:00.393354,A Yoga class,2 h 
526,Stretching,647,intermediate,37,13.62,2024-01-16 05:00:00.393354,A Stretching class,1 h 
527,ABS,57,begginer,17,9.27,2023-09-13 10:30:00.393354,A ABS class,0 h 5 min
528,Body Combat,988,advanced,3,12.62,2023-09-11 18:30:00.393354,A Body Combat class,2 h 
529,Total Body Conditioning,160,begginer,6,15.18,2023-06-13 00:00:00.393354,A Total Body Conditioning class,2 h 
530,Other,22,all levels,24,21.76,2023-08-08 20:30:00.393354,A Other class,0 h 20 min
531,Personalized,669,intermediate,24,11.51,2024-04-06 14:30:00.393354,A Personalized class,0 h 45 min
532,Aerobics,258,advanced,36,14.94,2024-04-14 04:30:00.393354,A Aerobics class,1 h 50 min
533,Yoga,441,begginer,14,16.19,2023-11-11 04:30:00.393354,A Yoga class,1 h 15 min
534,Boxing,616,all levels,24,16.43,2023-07-24 22:30:00.393354,A Boxing class,0 h 40 min
535,Kickboxing,929,advanced,49,15.14,2023-11-04 22:00:00.393354,A Kickboxing class,2 h 
536,Total Body Conditioning,228,advanced,4,16.09,2023-12-05 14:30:00.393354,A Total Body Conditioning class,1 h 25 min
537,CrossFit,697,advanced,47,12.05,2023-06-27 19:00:00.393354,A CrossFit class,2 h 
538,Yoga,250,all levels,46,10.89,2023-06-03 12:00:00.393354,A Yoga class,0 h 35 min
539,Body Pump,275,begginer,27,12.66,2023-09-02 16:30:00.393354,A Body Pump class,1 h 25 min
540,HIIT,524,begginer,47,17.81,2023-08-21 07:00:00.393354,A HIIT class,1 h 30 min
541,Boxing,275,intermediate,37,15.15,2024-03-28 11:00:00.393354,A Boxing class,1 h 30 min
542,Spinning,365,intermediate,8,12.92,2023-09-25 13:30:00.393354,A Spinning class,2 h 
543,Personalized,899,advanced,48,13.69,2023-11-27 10:00:00.393354,A Personalized class,1 h 50 min
544,Other,762,begginer,17,16.59,2023-12-30 04:30:00.393354,A Other class,0 h 30 min
545,ABS,832,intermediate,37,10.65,2024-03-12 17:30:00.393354,A ABS class,1 h 20 min
546,CrossFit,201,intermediate,12,13.73,2023-11-27 16:30:00.393354,A CrossFit class,0 h 10 min
547,Pilates,394,begginer,33,12.82,2023-07-05 18:30:00.393354,A Pilates class,2 h 
548,Yoga,576,advanced,32,16.65,2023-12-13 21:30:00.393354,A Yoga class,1 h 
549,HIIT,331,advanced,25,11.37,2023-08-11 08:00:00.393354,A HIIT class,0 h 40 min
550,Body Pump,671,intermediate,16,12.46,2023-11-01 04:00:00.393354,A Body Pump class,2 h 
551,Total Body Conditioning,57,intermediate,34,12.4,2023-08-22 06:00:00.393354,A Total Body Conditioning class,1 h 25 min
552,HIIT,139,begginer,40,11.89,2023-08-16 10:30:00.393354,A HIIT class,2 h 
553,GAP,611,begginer,1,15.09,2023-11-17 04:00:00.393354,A GAP class,1 h 
554,Total Body Conditioning,153,begginer,6,18.24,2024-02-04 04:00:00.393354,A Total Body Conditioning class,2 h 
555,Boxing,455,advanced,6,25.03,2023-11-27 20:00:00.393354,A Boxing class,1 h 15 min
556,HIIT,84,all levels,15,17.12,2024-01-26 22:00:00.393354,A HIIT class,0 h 
557,Personalized,51,all levels,9,18.01,2024-05-17 16:00:00.393354,A Personalized class,0 h 55 min
558,Spinning,680,all levels,1,16.3,2023-08-19 09:30:00.393354,A Spinning class,2 h 
559,Stretching,264,all levels,18,13.89,2023-07-13 21:00:00.393354,A Stretching class,0 h 30 min
